TweetID,tweet,brand_name
1,So good I had to share Check out all the items Im loving on Poshmarkapp from neuesday1 poshmark fashion,Gucci
2,So good I had to share Check out all the items Im loving on Poshmarkapp from ckjohnsonandco poshmark fashion,Gucci
3,So good I had to share Check out all the items Im loving on Poshmarkapp from mentalseeds poshmark fashion,Gucci
4,So good I had to share Check out all the items Im loving on Poshmarkapp from Maricel23296473 poshmark fashion,Gucci
5,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
6,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
7,So good I had to share Check out all the items Im loving on Poshmarkapp from youvegotmel1982 poshmark fashion,Gucci
8,Gucci Shoe Available in sizes 4146 Price N31000Mensfashion Gucci menswear,Gucci
9,Gucci Shoe Available in sizes 4046Price N30000Gucci Mensfashion menswear menstyle,Gucci
10,Gucci half shoe Available in sizes 4046 Price N30000Gucci Mensfashion menswear menstyle,Gucci
11,I Have Some Long Ass Legs I Promise You Im Only 56 puma nike adidas sneakers vans reebok newbalance,Gucci
12,Im The Wrong Bag To Fumble yeezy jordan nike adidas supreme hypebeast sneakers yeezyboost offwhite,Gucci
13,Womens slide sandal with Gucci logoGet em here sandals gucci slides,Gucci
14,RT KailasaVizag PATTABHISHEKAM CORONATION CEREMONY OF CHITTIRAI BRAMOTSAVAM 8 PM IS The Meenakshi Brahmotsavam is the celebratio,Gucci
15,RT kailasaGuptaka1 PATTABHISHEKAM CORONATION CEREMONY OF CHITTIRAI BRAMOTSAVAM 8 PM IS The Meenakshi Brahmotsavam is the celebra,Gucci
16,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
17,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
18,Gucci GG Flora Print Hat Case Item specifics Gucci,Gucci
19,Now Playing Yung Mane WITH THE BAG money 804 Virginia Gucci,Gucci
20,RT MassFashion Shopping in style the latest Designer Prada Alexander McQueen Stella McC,Gucci
21,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
