polarity,tweet,brand_name
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.233333333,RT ItaniMalange Homemade Romany Creams Recipe For freshly baked mixed biscuits DMWhatsApp 078 947 5662 free,Gucci
-0.031818182,Everyday a new model with Gucci,Gucci
0,RT fsoglian Gucci designed virtual sneakers for hypebeasts in Roblox and VRChat via verge Stefyts64 tosoc,Gucci
0.425,Saks is a luxury clothing department store It is full of your favorite designer brands like LV Gucci Chanel,Gucci
0,Im just different Id rather purchase 20 pairs of Vans for the price of a yeezyboost Gucci Louboutin or Jordan,Gucci
0.033333333,RT dripdrawcom I still remember my job interview for the position of Social Media Manager mysterybox Nik,Gucci
0.212121212,RT fmd1com New Issue Alert HannahMotler fronts Porter Magazines latest issue The British model shows off a series of failsafe sp,Gucci
0.033333333,I still remember my job interview for the position of Social Media Manager,Gucci
0.233333333,RT ItaniMalange Homemade Romany Creams Recipe For freshly baked mixed biscuits DMWhatsApp 078 947 5662 free,Gucci
0,Digital clothing anyone Theres a bit of buzz around Italian fashion label Gucci over a pair of shoes you cant e,Gucci
0.5,RT GawdofFrames From Guccis legendary 22kt gold collection the 42O is one of the finest Crafted with an astonishing 22kt Yellow gold,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp from Jamie4284 LADYC20161 poshmark,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.125,RT amnesiakai BritishGQ weareoneEXO EXOs KAI is now Koreas FIRST Global Gucci Brand Ambassador amp Guccis FIRST male eyewear ambassad,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0,RT WandaThibodeaux UhBuuuuuut I dont discount the popularity of VR AR or how its going to grow either Perhaps theyre actua,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0,RT WandaThibodeaux UhBuuuuuut I dont discount the popularity of VR AR or how its going to grow either Perhaps theyre actua,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0,UhBuuuuuut I dont discount the popularity of VR AR or how its going to grow either Perhaps theyre ac,Gucci
-0.017857143,Vests Large knitting small knitwear woolall this has entered the world of fashion Something that was considere,Gucci
0,Check out this type beat guccimane trap trapbeat gucci,Gucci
-0.133333333,The 1970s are back In fashion at least Wide leg pants amp trousers psychedelic patterns amp micro mini skirts Fr,Gucci
0.075,Do we have any Tom Ford Lovers fm fmworld fragrance chanel designer pink pretty perfume eaudeparfum,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.233333333,RT ItaniMalange Homemade Romany Creams Recipe For freshly baked mixed biscuits DMWhatsApp 078 947 5662 free,Gucci
0,Gucci designed virtual sneakers for hypebeasts in Roblox and VRChat via verge Stefyts64 tosochris AxaFz,Gucci
0,Check out Gucci Wolf Tshirt White Men S Wolfs eBay,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp from TxThrifty poshmark fashion,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0,Paparazzi ladygaga now gucci kenscott,Gucci
0.233333333,RT ItaniMalange Homemade Romany Creams Recipe For freshly baked mixed biscuits DMWhatsApp 078 947 5662 free,Gucci
0.233333333,RT ItaniMalange Homemade Romany Creams Recipe For freshly baked mixed biscuits DMWhatsApp 078 947 5662 free,Gucci
0,RT JPARKNET IGIG STORY Jay Park shares HD pics of himself from his shoot for GQ Korea April 2021 IssueCaption gqkorea guc,Gucci
0,RT luking0420 NEWS 210317 LuHan Studios Instagram updates Man in Gucci LuHan 1Cr luhanstudio7Link,Gucci
0,Out of work about to shower What shirt should I wear todayGucci Balenciaga givenchy Providence Rhode Is,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp from CorleenN poshmark fashion style,Gucci
0.75,Impressed by the Supreme x The North Face collab Who likes it better than the Gucci collab supreme thenorthface,Gucci
0.5,RT estorieco Anything gucci can do I can do vintage More photos here HarryStyles harrystylesgrammys GRA,Gucci
0,Gucci Prince said whatupdoe detroitvseverybody Miami Beach Florida,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
