username,userid,tweet,brand_name
hudaxbkpp,1021090604753666050,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
DaveStangis,18977445,Why Patagonia Gucci and Timberland are making a big bet on farming SustainableAg regenerative agriculture,Gucci
nattwd___,385279205,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
kkkk_k810,1157144219590381568,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
NelsonJr323,775352042,phatfarm n gucci belts,Gucci
k_sujar,2757440294,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
dojaskai,1264520169847750656,RT KaiHypeStation IG BOOST Boost ZKDLINs posts to 1M 3M 1M Likes gucci Current Likes 544290,Gucci
LL01151,1327541483176509440,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
TeamKaiPromo,1361461916552597504,RT KaiHypeStation IG BOOST Boost ZKDLINs posts to 1M 3M 1M Likes gucci Current Likes 544290,Gucci
pawndetroit,98627256,Shop our extensive stock of luxury handbags today Detroit HazelPark Pontiac Southgate LincolnParkMI,Gucci
Hardcorepawn,98628224,Luxury for all Shop our extensive stock of luxury handbags today Detroit HazelPark Pontiac Southgate,Gucci
sxrannn_,3314491261,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
iflvbkpp,406070295,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
ninew_333,2860686722,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
support_PPkrit,1373547759492419587,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
W140935,1325084429375565824,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
parkyummyyummy,1090398065712758784,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
Punyia,583910671,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
Meiisur,1337761114931699712,RT bkppstyle HBD22 gucci boy Gucci GG Marmont multicolor small shoulder bag 2050ppkritt BKPPSTYLE,Gucci
